year,reporter_code,reporter_iso3,reporter_name,flow_code,flow_name,partner_code,partner_iso3,partner_name,partner_is_group,hs_code,commodity,classification,trade_value_usd,net_weight_kg,net_weight_estimated,comtrade_is_aggregate,comtrade_is_reported
2020,699,IND,India,M,Import,233,EST,Estonia,False,8542,Electronic integrated circuits,H5,20816.797,16.885,True,True,False
2020,699,IND,India,M,Import,246,FIN,Finland,False,8542,Electronic integrated circuits,H5,71431496.68,57998.164,True,True,False
2020,699,IND,India,M,Import,251,FRA,France,False,8542,Electronic integrated circuits,H5,12621335.918,10443.537,True,True,False
2020,699,IND,India,M,Import,276,DEU,Germany,False,8542,Electronic integrated circuits,H5,31276630.845,25694.103,True,True,False
2020,699,IND,India,M,Import,300,GRC,Greece,False,8542,Electronic integrated circuits,H5,357.132,0.29,True,True,False
2020,699,IND,India,M,Import,344,HKG,"China, Hong Kong SAR",False,8542,Electronic integrated circuits,H5,2629035957.03,2202561.57,True,True,False
2020,699,IND,India,M,Import,348,HUN,Hungary,False,8542,Electronic integrated circuits,H5,333914.067,271.415,True,True,False
2020,699,IND,India,M,Import,360,IDN,Indonesia,False,8542,Electronic integrated circuits,H5,3298099.131,2677.03,True,True,False
2020,699,IND,India,M,Import,372,IRL,Ireland,False,8542,Electronic integrated circuits,H5,347541.116,283.713,True,True,False
2020,699,IND,India,M,Import,376,ISR,Israel,False,8542,Electronic integrated circuits,H5,115574978.714,94313.0,True,True,False
2020,699,IND,India,M,Import,380,ITA,Italy,False,8542,Electronic integrated circuits,H5,3021733.824,3386.44,True,True,False
2020,699,IND,India,M,Import,392,JPN,Japan,False,8542,Electronic integrated circuits,H5,100708532.18,81795.395,True,True,False
2020,699,IND,India,M,Import,410,KOR,Rep. of Korea,False,8542,Electronic integrated circuits,H5,871833218.005,707832.653,True,True,False
2020,699,IND,India,M,Import,414,KWT,Kuwait,False,8542,Electronic integrated circuits,H5,433.108,0.351,True,True,False
2020,699,IND,India,M,Import,428,LVA,Latvia,False,8542,Electronic integrated circuits,H5,4636.303,3.761,True,True,False
